Parameter,hba1c,sbp,ldl,hdl,bmi,heart_rate,wbc,haem,chf,ihd,mi1_male,mi1_female,mi2,stroke_1,stroke_2,blindness,ulcer,amp1_no_ulcer,amp1_yes_ulcer,amp2,esrd,death_nhne,death_1st_event,death_yhne,death_yhye
age,,,,,,,,,,,,,,,,,,,,,,,0.058,,0.05
age_diag,,,,,,,,,0.068,0.016,0.045,0.041,,0.066,0.046,0.047,0.043,0.023,-0.065,,-0.029,,,,
black,0.065827025,,-0.051531718,0.050587434,-0.093503001,,-0.331249115,-0.185392284,,,-0.83,-1.684,,,,,,,,,0.686,,,,
indian,0.046142766,-1.397636853,-0.076734214,,-0.086782463,,,,,,0.279,,,,,,,,,,,,-0.54,,
female,0.054340175,0.684242541,0.065904647,0.042885456,0.044321709,1.014484432,0.089341556,-0.345338237,,-0.532,,,,-0.42,,,-0.962,-0.445,,,-0.869,-0.229,,,
diab_dur,,,,,,,,,,,,,,,,,,,,,,,0.042,,
diab_dur_log,0.141961007,0.572002354,-0.043193404,,-0.165175449,0.907699135,0.16877873,-0.327880308,,,,,,,,,,,,,,,,,
smoke,,,,,,,,,,,0.277,0.344,,0.331,0.656,,,,,,,0.379,0.444,0.374,
a1c,,,,,,,,,,,0.108,0.078,,0.092,,0.171,0.16,0.248,,0.127,,,,,
a1c_lag,0.723498054,,,,,,,,,,,,,,,,,,,,,,,,
a1c_first,0.081024008,,,,,,,,,,,,,,,,,,,,,,,,
bmi,,,,,,,,,0.072,,,,,,,,0.053,,,,-0.054,,,,
bmi_lt18_5,,,,,,,,,,,,,,,,,,,,,,,,1.083,
bmi_gte25,,,,,,,,,,,,,,,,,,,,,,,,-0.293,
bmi_lag,,,,,0.953784893,,,,,,,,,,,,,,,,,,,,
bmi_first,,,,,0.033206349,,,,,,,,,,,,,,,,,,,,
egfr,,,,,,,,,,-0.053,,,,,,,,,,,,,,,
egfr_lt60,,,,,,,,,-0.22,,,-0.28,,-0.19,,,,,,,-1.031,,,,
egfr_gte60,,,,,,,,,,,,,,,,,,,,,-0.487,,,,
egfr_real,,,,,,,,,,,,,,,,,,,,,,,,,
hdl,,,,,,,,,,-0.065,-0.049,,,,,,,-0.059,,,,,,,0.068
hdl_lag,,,,0.602979645,,,,,,,,,,,,,,,,,,,,,
hdl_first,,,,0.219890001,,,,,,,,,,,,,,,,,,,,,
hdl_real,,,,,,,,,,,,,,,,,,,,,,,,,
heart_rate,,,,,,,,,,,,,,,,0.08,,0.098,,,,,0.124,,
heart_rate_lag,,,,,,0.329420923,,,,,,,,,,,,,,,,,,,
heart_rate_first,,,,,,0.270030731,,,,,,,,,,,,,,,,,,,
heart_rate_real,,,,,,,,,,,,,,,,,,,,,,,,,
ldl,,,,,,,,,0.012,0.023,0.023,,0.021,0.016,,,,,,,0.027,,,,
ldl_gt35,,,,,,,,,,,,0.035,,,,,,,,,,,,,
ldl_lag,,,0.564981117,,,,,,,,,,,,,,,,,,,,,,
